SimNum,Simulation,Electoral College Winner,SimpleCanidate,Third Party EC Votes,WinningMargin,Democratic EC Votes,Republican EC Votes,Democratic State Wins,Republican State Wins,WinnerStateWins
117,election_117,The Republican nominee (Trump/Pence),Trump,0,-22,247,291,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
118,election_118,The Republican nominee (Trump/Pence),Trump,0,-25,244,294,"Michigan, NA, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
119,election_119,The Republican nominee (Trump/Pence),Trump,0,-8,261,277,"Wisconsin, Iowa, Pennsylvania","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
120,election_120,The Democratic nominee (Biden/Harris),Biden,0,37,306,232,"Michigan, Georgia, Florida","Wisconsin, Arizona, Iowa","Michigan, Georgia, Florida"
121,election_121,The Republican nominee (Trump/Pence),Trump,0,-5,264,274,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Arizona, Iowa, Ohio"
122,election_122,The Democratic nominee (Biden/Harris),Biden,0,12,281,257,"Michigan, Georgia, Iowa","Wisconsin, Arizona, Ohio","Michigan, Georgia, Iowa"
123,election_123,The Republican nominee (Trump/Pence),Trump,0,-13,256,282,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
124,election_124,The Democratic nominee (Biden/Harris),Biden,0,5,274,264,"Florida, Pennsylvania, NA","Wisconsin, Michigan, Arizona","Florida, Pennsylvania, NA"
125,election_125,The Democratic nominee (Biden/Harris),Biden,0,72,341,197,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Nevada","Wisconsin, Michigan, Arizona"
126,election_126,The Democratic nominee (Biden/Harris),Biden,0,13,282,256,"Wisconsin, Arizona, Iowa","Michigan, Georgia, Ohio","Wisconsin, Arizona, Iowa"
127,election_127,The Democratic nominee (Biden/Harris),Biden,0,20,289,249,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Wisconsin, Michigan, Georgia"
128,election_128,The Republican nominee (Trump/Pence),Trump,0,-4,265,273,"Michigan, Arizona, Pennsylvania","Wisconsin, Georgia, Iowa","Wisconsin, Georgia, Iowa"
129,election_129,The Democratic nominee (Biden/Harris),Biden,0,1,270,268,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Wisconsin, Michigan, Pennsylvania"
130,election_130,The Republican nominee (Trump/Pence),Trump,3,-28,241,294,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
131,election_131,The Democratic nominee (Biden/Harris),Biden,0,29,298,240,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Florida","Wisconsin, Michigan, Arizona"
132,election_132,The Republican nominee (Trump/Pence),Trump,3,-19,250,285,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
133,election_133,The Republican nominee (Trump/Pence),Trump,0,-1,268,270,"Wisconsin, Georgia, Pennsylvania","Michigan, Arizona, Iowa","Michigan, Arizona, Iowa"
134,election_134,The Democratic nominee (Biden/Harris),Biden,0,25,294,244,"Wisconsin, Arizona, Georgia","Michigan, Ohio, Florida","Wisconsin, Arizona, Georgia"
135,election_135,The Democratic nominee (Biden/Harris),Biden,0,16,285,253,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Wisconsin, Michigan, Georgia"
136,election_136,The Democratic nominee (Biden/Harris),Biden,0,21,290,248,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Ohio","Wisconsin, Michigan, Arizona"
137,election_137,The Democratic nominee (Biden/Harris),Biden,0,13,282,256,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Wisconsin, Michigan, Pennsylvania"
